,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,East London,88,ZA,1547348542,99,-33.02,27.91,72.81,7.07
1,Yulara,0,AU,1547344800,9,-25.24,130.99,105.8,17.22
2,Zhizdra,88,RU,1547348544,92,53.75,34.74,24.12,9.08
3,Hobart,0,AU,1547346600,35,-42.88,147.33,69.8,12.75
4,Sola,0,FI,1547347800,100,62.78,29.36,14.0,8.01
5,Noumea,56,NC,1547346600,59,-22.28,166.46,89.6,18.34
6,Vestmannaeyjar,36,IS,1547348483,100,63.44,-20.27,34.92,10.92
7,Faanui,92,PF,1547348550,100,-16.48,-151.75,82.44,22.32
8,Haskovo,0,BG,1547346600,79,41.93,25.56,24.8,3.36
9,Nikolskoye,75,RU,1547346600,92,59.7,30.79,19.4,6.71
10,Buala,24,SB,1547348554,78,-8.15,159.59,87.12,9.42
11,Cape Town,40,ZA,1547344800,93,-33.93,18.42,62.6,8.05
12,Ushuaia,75,AR,1547344800,75,-54.81,-68.31,42.8,32.21
13,Rodrigues Alves,0,BR,1547344800,100,-7.74,-72.65,73.4,2.86
14,Barrow,88,AR,1547348562,97,-38.31,-60.23,63.54,10.13
15,Dulce Grande,5,MX,1547343900,43,23.0,-102.17,55.4,9.75
16,Kavieng,48,PG,1547348565,100,-2.57,150.8,82.98,11.77
17,Atuona,68,PF,1547348566,100,-9.8,-139.03,80.19,15.84
18,Maravatio,75,MX,1547344320,62,19.89,-100.44,59.0,4.7
19,Prince Rupert,90,CA,1547344800,93,54.32,-130.32,44.6,4.7
20,Provideniya,8,RU,1547348570,100,64.42,-173.23,-9.91,20.2
21,Abaete,48,BR,1547348421,99,-19.16,-45.45,66.24,5.39
22,Cockburn Town,88,TC,1547348422,100,21.46,-71.14,75.15,17.81
23,Poum,0,MK,1547348573,55,41.28,20.71,0.72,1.36
24,Halifax,90,CA,1547344800,85,44.65,-63.58,12.2,10.29
25,Port Elizabeth,90,US,1547348040,74,39.31,-74.98,33.08,3.36
26,Khatanga,64,RU,1547348577,49,71.98,102.47,-29.53,7.11
27,Husavik,80,CA,1547348579,93,50.56,-96.99,18.63,10.65
28,Butaritari,56,KI,1547348580,100,3.07,172.79,82.98,7.56
29,Kapaa,1,US,1547344560,66,22.08,-159.32,78.98,8.05
30,Praxedis Guerrero,75,MX,1547344680,40,31.37,-106.02,51.8,6.93
31,Haines Junction,36,CA,1547348584,26,60.75,-137.51,-20.35,2.08
32,Jamestown,0,AU,1547348585,25,-33.21,138.6,89.46,9.24
33,Kununurra,12,AU,1547346600,62,-15.77,128.74,87.8,2.24
34,Bredasdorp,24,ZA,1547344800,67,-34.53,20.04,62.6,8.05
35,Fukue,20,JP,1547346600,57,35.03,136.69,48.2,5.82
36,Novomykolayivka,80,UA,1547348590,76,48.54,32.26,19.26,8.12
37,Rikitea,80,PF,1547348592,99,-23.12,-134.97,79.29,13.6
38,Hermanus,32,ZA,1547348593,81,-34.42,19.24,57.69,9.42
39,Punta Arenas,75,CL,1547344800,65,-53.16,-70.91,46.4,25.28
40,Pochutla,0,MX,1547348595,100,15.74,-96.47,78.12,4.61
41,Tomatlan,24,MX,1547348597,89,19.93,-105.25,68.85,2.3
42,Lavrentiya,8,RU,1547348598,92,65.58,-170.99,-11.08,28.7
43,Bluff,0,AU,1547348599,42,-23.58,149.07,91.98,10.92
44,Bireun,64,ID,1547348600,100,5.2,96.7,80.1,7.63
45,Vaini,0,IN,1547344800,77,15.34,74.49,62.6,2.24
46,Port Alfred,32,ZA,1547348603,92,-33.59,26.89,67.41,7.74
47,Luderitz,12,NA,1547348604,90,-26.65,15.16,59.85,4.76
48,Ancud,75,CL,1547344800,87,-41.87,-73.83,44.6,3.36
49,Rio Claro,8,BR,1547348534,96,-22.41,-47.56,66.06,2.82
50,Chuy,88,UY,1547348608,90,-33.69,-53.46,70.2,12.03
51,Puerto Ayora,20,EC,1547348609,99,-0.74,-90.35,76.68,10.54
52,Challans,90,FR,1547346600,87,46.85,-1.88,48.2,8.05
53,Mahebourg,40,MU,1547344800,78,-20.41,57.7,78.8,11.41
54,Hasaki,20,JP,1547346600,100,35.73,140.83,50.0,13.87
55,New Norfolk,0,AU,1547346600,35,-42.78,147.06,69.8,12.75
56,Geraldton,5,CA,1547344800,69,49.72,-86.95,-13.01,3.2
57,Puerto Carreno,56,CO,1547348617,93,6.19,-67.49,67.95,4.27
58,Kahului,75,US,1547345340,62,20.89,-156.47,80.06,12.75
59,Bembereke,20,BJ,1547348620,52,10.23,2.66,65.25,5.73
60,Sillod,0,IN,1547348506,78,20.3,75.65,58.32,2.71
61,Pemba,75,MZ,1547344800,94,-12.97,40.52,77.0,10.29
62,Albany,75,US,1547347920,46,42.65,-73.75,17.96,5.82
63,Tawau,75,MY,1547344800,74,4.26,117.89,84.2,3.36
64,Esperance,20,TT,1547344800,78,10.24,-61.45,75.2,5.99
65,Mataura,76,NZ,1547348627,86,-46.19,168.86,59.49,8.75
66,Thompson,90,CA,1547344800,85,55.74,-97.86,14.0,11.41
67,Meulaboh,56,ID,1547348630,100,4.14,96.13,79.56,4.5
68,Cabo San Lucas,20,MX,1547344440,83,22.89,-109.91,69.8,3.36
69,Abu Samrah,44,SY,1547348632,97,35.3,37.18,31.32,6.89
70,Fort Nelson,75,CA,1547344800,84,58.81,-122.69,-0.41,4.7
71,Aljezur,0,PT,1547348636,100,37.31,-8.8,47.97,6.06
72,Lasa,90,CY,1547346600,66,34.92,32.53,55.4,11.41
73,Busselton,0,AU,1547348639,86,-33.64,115.35,72.36,18.07
74,Cortez,40,US,1547344380,84,37.35,-108.58,28.94,3.36
75,Nanning,90,CN,1547344800,100,22.83,108.3,55.4,4.47
76,Rio Gallegos,0,AR,1547344800,46,-51.62,-69.22,50.0,25.28
77,Fortuna,0,ES,1547346600,55,38.18,-1.13,39.2,9.17
78,Grindavik,40,IS,1547346600,86,63.84,-22.43,33.8,16.11
79,Saskylakh,0,RU,1547348646,0,71.97,114.09,-55.9,4.27
